day,transformer,district,SAIFI
2023-04-30,301,Kaneshie,0.0
2023-04-30,432,Mampong,0.0
2023-04-30,44,Achimota,0.0
2023-05-01,237,Dansoman,0.0
2023-05-01,402,Mampong,0.0
2023-05-01,426,Mampong,1.5238095238095237
2023-05-01,443,Mampong,2.0
2023-05-01,60,Achimota,0.0
2023-05-01,norc732,Achimota,0.0
2023-05-02,304,Kaneshie,0.0
2023-05-02,69,Achimota,0.3333333333333333
2023-05-03,422,Mampong,0.888888888888889
2023-05-03,433,Mampong,1.021276595744681
2023-05-03,82,Achimota,0.8263988522238164
2023-05-03,99,Achimota,0.0
2023-05-05,52,Achimota,0.0
2023-05-06,norc477,Kaneshie,0.0
2023-05-07,73,Achimota,0.0
2023-05-07,norc111,Dansoman,0.0
2023-05-09,216,Dansoman,1.0
2023-05-09,310,Kaneshie,1.0
2023-05-09,norc331,Kaneshie,0.3333333333333333
2023-05-10,323,Kaneshie,0.0
2023-05-11,28,Achimota,0.0
2023-05-11,407,Mampong,0.0
2023-05-11,82,Achimota,0.0
2023-05-12,26,Achimota,0.0
2023-05-12,440,Mampong,0.0
2023-05-13,norc332,Kaneshie,0.25
2023-05-13,norc388,Kaneshie,0.0
2023-05-14,311,Kaneshie,0.0
2023-05-14,410,Mampong,0.0
2023-05-14,438,Mampong,0.0
2023-05-14,7,Achimota,0.0
2023-05-15,41,Achimota,0.33488372093023255
2023-05-15,414,Mampong,0.0
2023-05-16,238,Dansoman,0.0
2023-05-16,59,Achimota,0.5987525987525987
2023-05-17,322,Kaneshie,0.0
2023-05-17,norc172,Dansoman,0.0
2023-05-17,norc833,Achimota,0.3364485981308411
2023-05-19,16,Achimota,0.0
2023-05-19,75,Achimota,2.3333333333333335
2023-05-19,norc377,Kaneshie,0.0
2023-05-20,202,Dansoman,0.0
2023-05-20,21,Achimota,1.0
2023-05-20,212,Dansoman,0.0
2023-05-20,222,Dansoman,0.0
2023-05-20,234,Dansoman,0.0
2023-05-20,310,Kaneshie,0.0
2023-05-20,norc225,Kaneshie,0.0
2023-05-21,404,Mampong,1.707509881422925
2023-05-21,norc388,Kaneshie,0.0
2023-05-22,norc579,Achimota,0.0
2023-05-23,304,Kaneshie,0.0
2023-05-23,norc854,Achimota,0.0
2023-05-24,407,Mampong,1.0
2023-05-24,421,Mampong,0.0
2023-05-24,427,Mampong,1.0105263157894737
2023-05-24,430,Mampong,0.5
2023-05-24,439,Mampong,1.0
2023-05-24,norc532,Achimota,0.0
2023-05-25,norc732,Achimota,0.0
2023-05-26,25,Achimota,0.0
2023-05-26,308,Kaneshie,0.0
2023-05-26,329,Kaneshie,1.0
2023-05-26,norc111,Dansoman,0.0
2023-05-27,411,Mampong,0.0
2023-05-27,norc377,Kaneshie,0.0
2023-05-28,2,Achimota,0.0
2023-05-28,97,Achimota,0.0
2023-05-28,norc932,Achimota,0.0
2023-05-29,443,Mampong,0.0
2023-05-30,29,Achimota,2.0
2023-05-30,308,Kaneshie,0.0
2023-05-30,norc109,Dansoman,0.0
2023-05-30,norc732,Achimota,1.0
2023-05-31,27,Achimota,0.0
2023-05-31,norc877,Achimota,0.0
2023-05-31,norc930,Achimota,4.8
2023-06-02,405,Mampong,1.0034843205574913
2023-06-02,48,Achimota,0.0
2023-06-02,norc443,Kaneshie,0.0
2023-06-03,13,Achimota,0.0
